[Client] Connected to Donkey Sim at 127.0.0.1:9091
[Client] Listening for sim messages...
[Sim] Scene selection ready.
[Client] Loading scene: generated_track
[Sim] Car loaded — ready to drive.
[Main] Waiting for first telemetry packet...
cte= -0.02  speed= 2.29  hit=none
cte= -0.03  speed= 2.29  hit=none
cte= -0.28  speed= 2.30  hit=none
cte= -0.53  speed= 2.30  hit=none
cte= -0.91  speed= 2.30  hit=none
cte= -1.35  speed= 2.30  hit=none
cte= -1.71  speed= 2.29  hit=none
cte= -2.28  speed= 2.28  hit=none
cte= -2.78  speed= 2.26  hit=none
cte= -3.04  speed= 2.24  hit=none
cte= -3.56  speed= 2.21  hit=none
cte= -3.98  speed= 2.19  hit=none
cte= -4.28  speed= 2.16  hit=none

[Main] Car off track (cte=-4.28) — resetting car...
[Client] Car reset to start.
cte= -4.36  speed= 2.16  hit=none

[Main] Car off track (cte=-4.36) — resetting car...
[Client] Car reset to start.
cte= -4.75  speed= 2.14  hit=none

[Main] Car off track (cte=-4.75) — resetting car...
[Client] Car reset to start.
cte= -5.11  speed= 2.11  hit=none

[Main] Car off track (cte=-5.11) — resetting car...
[Client] Car reset to start.
cte= -5.46  speed= 2.09  hit=none

[Main] Car off track (cte=-5.46) — resetting car...
[Client] Car reset to start.
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.09  hit=none
cte=  0.00  speed= 0.22  hit=none
cte=  0.00  speed= 0.34  hit=none
cte= -0.00  speed= 0.47  hit=none
cte= -0.00  speed= 0.59  hit=none
cte= -0.00  speed= 0.71  hit=none
cte= -0.00  speed= 0.83  hit=none
cte= -0.01  speed= 0.94  hit=none
cte= -0.01  speed= 1.07  hit=none
cte= -0.01  speed= 1.19  hit=none
cte= -0.01  speed= 1.29  hit=none
cte= -0.01  speed= 1.40  hit=none
cte= -0.01  speed= 1.52  hit=none
cte= -0.01  speed= 1.63  hit=none
cte= -0.00  speed= 1.73  hit=none
cte= -0.00  speed= 1.81  hit=none
cte=  0.00  speed= 1.89  hit=none
cte=  0.01  speed= 1.95  hit=none
cte=  0.01  speed= 2.00  hit=none
cte=  0.01  speed= 2.05  hit=none
cte=  0.02  speed= 2.09  hit=none
cte=  0.02  speed= 2.12  hit=none
cte=  0.03  speed= 2.15  hit=none
cte=  0.03  speed= 2.17  hit=none
cte=  0.03  speed= 2.19  hit=none
cte=  0.04  speed= 2.21  hit=none
cte=  0.04  speed= 2.22  hit=none
cte=  0.04  speed= 2.24  hit=none
